id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,color,quality,date_added
60,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,white,slightly satisfied,2022-01-28
61,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,white,moderately dissatisfied,2023-12-17
62,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,red,neutral,2023-06-06
63,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,red,slightly satisfied,2024-04-21
64,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,red,slightly dissatisfied,2023-10-24
65,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,white,neutral,2022-03-28
66,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,white,slightly satisfied,2023-07-10
67,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,white,slightly satisfied,2024-03-25
68,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,white,slightly satisfied,2024-09-22
69,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,red,neutral,2024-01-25
70,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,white,slightly dissatisfied,2022-09-08
71,6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,white,neutral,2022-01-25
72,5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,white,slightly satisfied,2023-05-17
73,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,red,neutral,2023-02-24
74,6.3,0.36,0.28,2.5,0.035,18,73,0.98868,3.1,0.47,12.8,white,slightly satisfied,2024-08-20
75,6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,white,slightly dissatisfied,2024-02-20
76,9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,white,moderately dissatisfied,2023-03-29
77,7.3,0.82,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,white,slightly dissatisfied,2023-12-02
78,8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,white,neutral,2024-02-07
79,6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,white,neutral,2023-05-24
80,7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,white,neutral,2023-05-15
81,8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,white,neutral,2023-09-27
82,7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,white,moderately dissatisfied,2023-07-16
83,10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,red,neutral,2022-09-22
84,6.8,0.15,0.41,12.9,0.044,80,183,0.99742,3.24,0.78,10.2,white,neutral,2022-07-02
85,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,red,neutral,2023-07-16
86,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,white,slightly satisfied,2023-05-10
87,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,white,moderately dissatisfied,2024-09-27
88,5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,white,neutral,2022-08-12
89,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,white,neutral,2022-11-01
90,6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,white,slightly dissatisfied,2023-09-24
91,6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,white,neutral,2022-04-04
92,6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,white,slightly satisfied,2023-07-12
93,6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,white,neutral,2023-03-30
94,6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,white,slightly dissatisfied,2024-05-16
95,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,white,neutral,2022-12-04
96,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,white,neutral,2024-12-06
97,7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,white,neutral,2024-02-24
98,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,white,moderately dissatisfied,2022-06-20
99,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,white,slightly dissatisfied,2022-10-12
100,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,white,slightly dissatisfied,2024-09-08
101,6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,white,slightly satisfied,2023-05-21
102,5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,white,neutral,2023-11-18
103,7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,white,neutral,2024-03-21
104,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,white,moderately dissatisfied,2023-07-31
105,8.4,0.75,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,red,slightly dissatisfied,2022-03-02
106,7.1,0.3,0.36,6.8,0.055,45,234,0.9972,3.49,0.64,10.2,white,neutral,2024-04-07
107,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,red,neutral,2022-01-25
108,7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,white,slightly dissatisfied,2024-09-24
109,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,red,slightly dissatisfied,2022-08-30
110,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,white,slightly satisfied,2023-10-25
111,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,white,neutral,2024-05-19
112,6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,white,moderately satisfied,2023-08-07
113,9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,white,slightly dissatisfied,2024-07-22
114,6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,white,neutral,2024-11-30
115,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,white,slightly dissatisfied,2023-04-24
116,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,white,slightly satisfied,2023-06-10
117,5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,white,moderately satisfied,2022-01-19
118,6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,white,neutral,2024-03-05
119,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,white,neutral,2023-08-30
120,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,red,neutral,2023-04-26
121,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,white,slightly dissatisfied,2022-05-22
122,9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,white,moderately dissatisfied,2022-09-08
123,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,white,slightly satisfied,2023-12-16
124,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,white,slightly dissatisfied,2024-01-20
125,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,white,slightly dissatisfied,2022-01-23
126,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,white,neutral,2022-02-06
127,6.9,0.69,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,red,neutral,2024-01-11
128,8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,white,moderately dissatisfied,2022-03-29
129,5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,white,neutral,2024-04-12
130,6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,white,neutral,2024-07-12
131,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,white,neutral,2024-05-01
132,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,white,neutral,2023-05-22
133,7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,white,neutral,2022-02-20
134,6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,white,slightly dissatisfied,2022-06-30
135,8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,white,neutral,2024-03-30
136,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,white,neutral,2023-01-23
137,7.6,0.2,0.3,14.2,0.056,53,213,0.999,3.14,0.46,8.9,white,moderately satisfied,2023-06-24
138,9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,red,slightly dissatisfied,2022-07-21
139,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,red,slightly dissatisfied,2023-02-03
140,6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,white,slightly dissatisfied,2024-09-01
141,5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,white,neutral,2022-02-20
142,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,white,neutral,2024-11-27
143,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,red,slightly dissatisfied,2023-08-03
144,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,red,neutral,2023-06-10
145,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,red,neutral,2023-05-29
146,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,red,neutral,2022-04-15
147,5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,white,neutral,2023-02-08
148,6.4,0.18,0.31,1.6,0.049,36,127,0.9934,3.6,0.67,10.4,white,slightly satisfied,2024-07-28
149,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,white,slightly satisfied,2022-01-30
150,6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,white,moderately dissatisfied,2023-01-29
151,7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,white,neutral,2022-06-17
152,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,red,neutral,2022-06-04
153,7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,white,neutral,2022-04-13
154,4.9,0.24,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,white,neutral,2024-05-13
155,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,white,neutral,2023-06-27
156,6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,white,neutral,2024-06-19
157,9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,white,neutral,2023-12-05
158,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,white,neutral,2022-08-09
159,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,white,slightly dissatisfied,2023-12-24
160,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,white,neutral,2023-03-28
161,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,white,slightly dissatisfied,2024-06-09
162,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,white,neutral,2024-04-20
163,7.1,0.39,0.3,9.9,0.037,29,124,0.99414,3.07,0.42,10.9,white,neutral,2024-05-23
164,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,red,neutral,2022-12-28
165,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,white,slightly satisfied,2022-04-08
166,7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,white,neutral,2022-07-18
167,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,white,neutral,2024-03-23
168,6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,white,neutral,2022-03-21
169,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,white,slightly satisfied,2022-10-01
170,8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,red,neutral,2024-11-17
171,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,red,neutral,2023-07-01
172,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,white,moderately satisfied,2024-07-02
173,6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,white,neutral,2024-03-15
174,5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,white,slightly dissatisfied,2023-09-17
175,7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,white,neutral,2024-03-23
176,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,white,moderately dissatisfied,2024-02-20
177,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,white,slightly dissatisfied,2023-12-18
178,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,white,slightly dissatisfied,2022-08-25
179,6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,white,slightly dissatisfied,2022-04-23
180,6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,white,neutral,2022-01-24
181,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,red,slightly dissatisfied,2023-06-06
182,7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,white,slightly dissatisfied,2023-08-14
183,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,red,slightly satisfied,2024-09-10
184,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,red,slightly dissatisfied,2022-10-11
185,7.9,0.55,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,red,neutral,2023-02-24
186,6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,white,neutral,2022-06-11
187,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,red,neutral,2024-10-22
188,8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,white,neutral,2022-12-05
189,7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,white,neutral,2023-04-17
190,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,white,slightly dissatisfied,2022-12-24
191,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,white,slightly satisfied,2024-10-02
192,6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,white,slightly dissatisfied,2023-10-11
193,8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,white,slightly satisfied,2024-04-05
194,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,red,slightly satisfied,2022-05-15
195,7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,red,slightly dissatisfied,2023-11-10
196,9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,white,slightly satisfied,2022-09-16
197,6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,white,slightly dissatisfied,2022-05-29
198,6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13,white,slightly satisfied,2022-07-31
199,7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,white,neutral,2024-01-19
200,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,red,slightly dissatisfied,2023-02-17
201,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,white,slightly dissatisfied,2022-03-14
202,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,white,slightly dissatisfied,2022-10-09
203,6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,white,slightly satisfied,2023-07-04
204,7.7,0.71,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,red,slightly dissatisfied,2022-08-29
205,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,white,slightly dissatisfied,2024-03-12
206,7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,white,neutral,2022-12-11
207,7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,white,neutral,2023-05-21
208,8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,red,neutral,2024-08-11
209,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,white,neutral,2024-10-31
210,5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,white,neutral,2022-07-28
211,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,white,slightly dissatisfied,2023-03-04
212,8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,white,slightly dissatisfied,2022-01-18
213,6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,white,slightly dissatisfied,2022-10-29
214,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,red,neutral,2023-06-08
215,7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,white,slightly dissatisfied,2023-09-22
216,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,white,neutral,2024-01-23
217,7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,white,slightly satisfied,2022-03-29
218,8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7,white,slightly dissatisfied,2022-07-31
219,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,white,neutral,2022-02-02
220,6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,white,slightly satisfied,2023-01-01
221,7.1,0.3,0.36,6.8,0.055,45,234,0.9972,3.49,0.64,10.2,white,neutral,2023-05-13
222,6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,white,neutral,2022-07-07
223,7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,white,slightly satisfied,2022-05-21
224,6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,white,slightly satisfied,2022-07-04
225,6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,white,neutral,2022-04-26
226,7.7,0.67,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,red,slightly dissatisfied,2022-02-10
227,8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,red,slightly satisfied,2024-05-20
228,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,white,neutral,2022-04-08
229,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,white,neutral,2023-02-12
230,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,white,neutral,2023-09-09
231,7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,white,neutral,2024-10-13
232,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,white,neutral,2024-03-20
233,7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,white,neutral,2022-11-09
234,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,white,neutral,2022-10-05
235,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,white,slightly dissatisfied,2022-07-09
236,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,white,moderately satisfied,2024-12-05
237,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,white,slightly satisfied,2023-07-07
238,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,white,moderately satisfied,2022-05-23
239,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,red,slightly dissatisfied,2024-07-10
240,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,white,neutral,2023-12-25
241,7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,white,slightly satisfied,2024-05-09
242,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,white,neutral,2024-01-01
